gender,ageLow,ageHigh,countLow,countHigh,score
male,0,24,67,255,20
male,0,24,66,66,19.8
male,0,24,65,65,19.6
male,0,24,64,64,19.4
male,0,24,63,63,19.2
male,0,24,62,62,19
male,0,24,61,61,18.8
male,0,24,60,60,18.6
male,0,24,59,59,18.4
male,0,24,58,58,18.2
male,0,24,57,57,18
male,0,24,56,56,17.8
male,0,24,55,55,17.7
male,0,24,54,54,17.6
male,0,24,53,53,17.4
male,0,24,52,52,17.2
male,0,24,51,51,17
male,0,24,50,50,16.8
male,0,24,49,49,16.6
male,0,24,48,48,16.2
male,0,24,47,47,16
male,0,24,46,46,15.6
male,0,24,45,45,15.4
male,0,24,44,44,15
male,0,24,43,43,14.6
male,0,24,42,42,14
male,0,24,41,41,13.4
male,0,24,40,40,13
male,0,24,39,39,13
male,0,24,38,38,12.6
male,0,24,37,37,12
male,0,24,36,36,11.6
male,0,24,35,35,11
male,0,24,34,34,10.6
male,0,24,33,33,10
male,0,24,32,32,7
male,0,24,31,31,4
male,0,24,30,30,1
male,0,24,0,29,0
male,25,29,62,255,20
male,25,29,61,61,19.7
male,25,29,60,60,19.4
male,25,29,59,59,19
male,25,29,58,58,18.8
male,25,29,57,57,18.6
male,25,29,56,56,18.4
male,25,29,55,55,18.2
male,25,29,54,54,18
male,25,29,53,53,17.8
male,25,29,52,52,17.6
male,25,29,51,51,17.5
male,25,29,50,50,17.4
male,25,29,49,49,17.2
male,25,29,48,48,17
male,25,29,47,47,16.8
male,25,29,46,46,16.6
male,25,29,45,45,16.2
male,25,29,44,44,16
male,25,29,43,43,15.6
male,25,29,42,42,15.4
male,25,29,41,41,15
male,25,29,40,40,14.6
male,25,29,39,39,14.4
male,25,29,38,38,14
male,25,29,37,37,13.6
male,25,29,36,36,13
male,25,29,35,35,12.6
male,25,29,34,34,12
male,25,29,33,33,11.6
male,25,29,32,32,11
male,25,29,31,31,10.6
male,25,29,30,30,10
male,25,29,29,29,7
male,25,29,28,28,4
male,25,29,27,27,1
male,25,29,0,26,0
male,30,34,57,255,20
male,30,34,56,56,19.8
male,30,34,55,55,19.6
male,30,34,54,54,19.4
male,30,34,53,53,19.2
male,30,34,52,52,19
male,30,34,51,51,18.8
male,30,34,50,50,18.6
male,30,34,49,49,18.5
male,30,34,48,48,18.4
male,30,34,47,47,18.2
male,30,34,46,46,18
male,30,34,45,45,17.8
male,30,34,44,44,17.6
male,30,34,43,43,17.4
male,30,34,42,42,17.2
male,30,34,41,41,17
male,30,34,40,40,16.6
male,30,34,39,39,16
male,30,34,38,38,15.6
male,30,34,37,37,15.4
male,30,34,36,36,15
male,30,34,35,35,14.6
male,30,34,34,34,14
male,30,34,33,33,13.6
male,30,34,32,32,13.4
male,30,34,31,31,13
male,30,34,30,30,12
male,30,34,29,29,11
male,30,34,28,28,10.6
male,30,34,27,27,10
male,30,34,26,26,7
male,30,34,25,25,4
male,30,34,24,24,1
male,30,34,0,23,0
male,35,39,51,255,20
male,35,39,50,50,19.5
male,35,39,49,49,19
male,35,39,48,48,18.8
male,35,39,47,47,18.6
male,35,39,46,46,18.5
male,35,39,45,45,18.4
male,35,39,44,44,18.2
male,35,39,43,43,18
male,35,39,42,42,17.8
male,35,39,41,41,17.6
male,35,39,40,40,17.4
male,35,39,39,39,17.2
male,35,39,38,38,17
male,35,39,37,37,16.6
male,35,39,36,36,16
male,35,39,35,35,15.6
male,35,39,34,34,15.4
male,35,39,33,33,15
male,35,39,32,32,14.6
male,35,39,31,31,14
male,35,39,30,30,13.6
male,35,39,29,29,13.4
male,35,39,28,28,13
male,35,39,27,27,12
male,35,39,26,26,11
male,35,39,25,25,10.6
male,35,39,24,24,10
male,35,39,23,23,7
male,35,39,22,22,4
male,35,39,21,21,1
male,35,39,0,20,0
male,40,44,44,255,20
male,40,44,43,43,19.8
male,40,44,42,42,19.6
male,40,44,41,41,19.4
male,40,44,40,40,19.2
male,40,44,39,39,19
male,40,44,38,38,18.8
male,40,44,37,37,18.4
male,40,44,36,36,18.2
male,40,44,35,35,18
male,40,44,34,34,17.6
male,40,44,33,33,17
male,40,44,32,32,16.8
male,40,44,31,31,16.6
male,40,44,30,30,16.2
male,40,44,29,29,16
male,40,44,28,28,15
male,40,44,27,27,14.6
male,40,44,26,26,14.4
male,40,44,25,25,14
male,40,44,24,24,13
male,40,44,23,23,12.6
male,40,44,22,22,12
male,40,44,21,21,11.6
male,40,44,20,20,11
male,40,44,19,19,10.6
male,40,44,18,18,10
male,40,44,17,17,7
male,40,44,16,16,4
male,40,44,15,15,1
male,40,44,0,14,0
female,0,24,47,255,20
female,0,24,46,46,19.8
female,0,24,45,45,19.6
female,0,24,44,44,19.4
female,0,24,43,43,19.2
female,0,24,42,42,19
female,0,24,41,41,18.8
female,0,24,40,40,18.6
