gender,ageLow,ageHigh,countLow,countHigh,score
male,0,24,0:0,9:12,60
male,0,24,9:13,9:34,59.5
male,0,24,9:35,9:45,59
male,0,24,9:46,9:58,58.5
male,0,24,9:59,10:10,58
male,0,24,10:11,10:23,57.5
male,0,24,10:24,10:37,57
male,0,24,10:38,10:51,56.5
male,0,24,10:52,11:06,56
male,0,24,11:07,11:22,55.5
male,0,24,11:23,11:38,55
male,0,24,11:39,11:56,54.5
male,0,24,11:57,12:14,54
male,0,24,12:15,12:33,53.5
male,0,24,12:34,12:53,52
male,0,24,12:54,13:14,50.5
male,0,24,13:15,13:36,49
male,0,24,13:37,14:00,46.5
male,0,24,14:01,14:25,44
male,0,24,14:26,14:52,41
male,0,24,14:53,15:20,38
male,0,24,15:21,15:50,35
male,0,24,15:51,30:00,0
male,25,29,00:00,9:22,60
male,25,29,9:23,9:45,59.5
male,25,29,9:46,9:58,59
male,25,29,9:59,10:10,58.5
male,25,29,10:11,10:23,58
male,25,29,10:24,10:37,57.5
male,25,29,10:38,10:51,57
male,25,29,10:52,11:06,56.5
male,25,29,11:07,11:22,56
male,25,29,11:23,11:38,55.5
male,25,29,11:39,11:56,55
male,25,29,11:57,12:14,54.5
male,25,29,12:15,12:33,54
male,25,29,12:34,12:53,53.5
male,25,29,12:54,13:14,52
male,25,29,13:15,13:36,50.5
male,25,29,13:37,14:00,49
male,25,29,14:01,14:25,46.5
male,25,29,14:26,14:52,44
male,25,29,14:53,15:20,41
male,25,29,15:21,15:50,38
male,25,29,15:51,16:22,35
male,25,29,16:23,30:00,0
male,30,34,00:00,9:34,60
male,30,34,9:35,9:58,59.5
male,30,34,9:59,10:10,59
male,30,34,10:11,10:23,58.5
male,30,34,10:24,10:37,58
male,30,34,10:38,10:51,57.5
male,30,34,10:52,11:06,57
male,30,34,11:07,11:22,56.5
male,30,34,11:23,11:38,56
male,30,34,11:39,11:56,55.5
male,30,34,11:57,12:14,55
male,30,34,12:15,12:33,54.5
male,30,34,12:34,12:53,54
male,30,34,12:54,13:14,53.5
male,30,34,13:15,13:36,52
male,30,34,13:37,14:00,50.5
male,30,34,14:01,14:25,49
male,30,34,14:26,14:52,46.5
male,30,34,14:53,15:20,44
male,30,34,15:21,15:50,41
male,30,34,15:51,16:22,38
male,30,34,16:23,16:57,35
male,30,34,16:58,30:00,0
male,35,39,00:00,9:45,60
male,35,39,9:46,10:10,59.5
male,35,39,10:11,10:23,59
male,35,39,10:24,10:37,58.5
male,35,39,10:38,10:51,58
male,35,39,10:52,11:06,57.5
male,35,39,11:07,11:22,57
male,35,39,11:23,11:38,56.5
male,35,39,11:39,11:56,56
male,35,39,11:57,12:14,55.5
male,35,39,12:15,12:33,55
male,35,39,12:34,12:53,54.5
male,35,39,12:54,13:14,54
male,35,39,13:15,13:36,53.5
male,35,39,13:37,14:00,52
male,35,39,14:01,14:25,50.5
male,35,39,14:26,14:52,49
male,35,39,14:53,15:20,46.5
male,35,39,15:21,15:50,44
male,35,39,15:51,16:22,41
male,35,39,16:23,16:57,38
male,35,39,16:58,17:34,35
male,35,39,17:35,30:00,0
male,40,44,0:00,9:58,60
male,40,44,9:59,12:23,59.5
male,40,44,10:24,10:37,59
male,40,44,10:38,10:51,58.5
male,40,44,10:52,11:06,58
male,40,44,11:07,11:22,57.5
male,40,44,11:23,11:38,57
male,40,44,11:39,11:56,56.5
male,40,44,11:57,12:14,56
male,40,44,12:15,12:33,55.5
male,40,44,12:34,12:53,55
male,40,44,12:54,13:14,54.5
male,40,44,13:15,13:36,54
male,40,44,13:37,14:00,53.5
male,40,44,14:01,14:25,52
male,40,44,14:26,14:52,50.5
male,40,44,14:53,15:20,49
male,40,44,15:21,15:49,46.5
male,40,44,15:51,16:22,44
male,40,44,16:23,16:57,41
male,40,44,16:58,17:34,38
male,40,44,17:35,18:14,35
male,40,44,18:15,30:00,0
female,0,24,0:00,10:23,60
female,0,24,10:24,10:51,59.5
female,0,24,10:52,11:06,59
female,0,24,11:07,11:22,58.5
female,0,24,11:23,11:38,58
female,0,24,11:39,11:56,57.5
female,0,24,11:57,12:14,57
female,0,24,12:15,12:33,56.5
female,0,24,12:34,12:53,56
female,0,24,12:54,13:14,55.5
female,0,24,13:15,13:36,55
female,0,24,13:37,14:00,54.5
female,0,24,14:01,14:25,54
female,0,24,14:26,14:52,53.5
female,0,24,14:53,15:20,52
female,0,24,15:21,15:50,50.5
female,0,24,15:51,16:22,49
female,0,24,16:23,16:57,46
female,0,24,16:58,17:34,42.5
female,0,24,17:35,18:14,39
female,0,24,18:15,18:56,35
female,0,24,18:57,30:00,0
male,45,49,00:00,10:10,60
male,45,49,10:11,10:37,59.5
male,45,49,10:38,10:51,59
male,45,49,10:52,11:06,58.5
male,45,49,11:07,11:22,58
male,45,49,11:23,11:38,57.5
male,45,49,11:39,11:56,57
male,45,49,11:57,12:14,56.5
male,45,49,12:15,12:33,56
male,45,49,12:34,12:53,55.5
male,45,49,12:54,13:14,55
male,45,49,13:15,13:36,54.5
male,45,49,13:37,14:00,54
male,45,49,14:01,14:25,53.5
male,45,49,14:26,14:52,52
male,45,49,14:53,15:20,50.5
male,45,49,15:21,15:50,49
male,45,49,15:51,16:22,46.5
male,45,49,16:23,16:57,44
male,45,49,16:58,17:34,41
male,45,49,17:35,18:14,38
male,45,49,18:15,18:56,35
male,45,49,18:57,30:00,0
male,50,54,00:00,10:37,60
male,50,54,10:38,11:06,59.5
male,50,54,11:07,11:22,59
male,50,54,11:23,11:38,58.5
male,50,54,11:39,11:56,58
male,50,54,11:57,12:14,57.5
male,50,54,12:15,12:33,57
male,50,54,12:34,12:53,56.5
male,50,54,12:54,13:14,56
male,50,54,13:15,13:36,55.5
male,50,54,13:37,14:00,55
male,50,54,14:01,14:25,54.5
male,50,54,14:26,14:52,54
male,50,54,14:53,15:20,53.5
male,50,54,15:21,15:50,52
male,50,54,15:51,16:22,50.5
male,50,54,16:23,16:57,48
male,50,54,16:58,17:34,45.5
male,50,54,17:35,18:14,43
male,50,54,18:15,18:56,40.5
male,50,54,18:57,19:43,38
male,50,54,19:44,20:33,35
male,50,54,20:34,30:00,0
male,55,59,0:00,10:51,60
male,55,59,10:52,11:22,59.5
male,55,59,11:23,11:38,59
male,55,59,11:39,11:56,58.5
male,55,59,11:57,12:14,58
male,55,59,12:15,12:33,57.5
male,55,59,12:34,12:53,57
male,55,59,12:54,13:14,56.5
male,55,59,13:15,13:36,56
male,55,59,13:37,14:00,55.5
male,55,59,14:01,14:25,55
male,55,59,14:26,14:52,54.5
male,55,59,14:53,15:20,54
male,55,59,15:21,15:50,53.5
male,55,59,15:51,16:22,52
male,55,59,16:23,16:57,50.5
male,55,59,16:58,17:34,48
male,55,59,17:35,18:14,45.5
male,55,59,18:15,18:56,43
male,55,59,18:57,19:43,40.5
male,55,59,19:44,20:33,38
male,55,59,20:34,21:28,35
male,55,59,21:29,30:00,0
male,60,255,00:00,11:22,60
male,60,255,11:23,11:56,59.5
male,60,255,11:57,12:14,59
male,60,255,12:15,12:33,58.5
male,60,255,12:34,12:53,58
male,60,255,12:54,13:14,57.5
male,60,255,13:15,13:36,57
male,60,255,13:37,14:00,56.5
male,60,255,14:01,14:25,56
male,60,255,14:26,14:52,55.5
male,60,255,14:53,15:20,55
male,60,255,15:21,15:50,54.5
male,60,255,15:51,16:22,54
male,60,255,16:23,16:57,52.5
male,60,255,16:58,17:34,51
male,60,255,17:35,18:14,49.5
male,60,255,18:15,18:56,47
male,60,255,18:57,19:43,44.5
male,60,255,19:44,20:33,41.5
male,60,255,20:34,21:28,38.5
male,60,255,21:29,22:28,35
male,60,255,22:29,30:00,0
female,25,29,00:00,10:37,60
female,25,29,10:38,11:06,59.5
female,25,29,11:07,11:22,59
female,25,29,11:23,11:38,58.5
female,25,29,11:39,11:56,58
female,25,29,11:57,12:14,57.5
female,25,29,12:15,12:33,57
female,25,29,12:34,12:53,56.5
female,25,29,12:54,13:14,56
female,25,29,13:15,13:36,55.5
female,25,29,13:37,14:00,55
female,25,29,14:01,14:25,54.5
female,25,29,14:26,14:52,54
female,25,29,14:53,15:20,53.5
female,25,29,15:21,15:50,52
female,25,29,15:51,16:22,50.5
female,25,29,16:23,16:57,49
female,25,29,16:58,17:34,45.5
female,25,29,17:35,18:14,42
female,25,29,18:15,18:56,38.5
female,25,29,18:57,19:43,35
female,25,29,19:44,30:00,0
female,30,34,00:00,10:51,60
female,30,34,10:52,11:22,59.5
female,30,34,11:23,11:38,59
female,30,34,11:39,11:56,58.5
female,30,34,11:57,12:14,58
female,30,34,12:15,12:33,57.5
female,30,34,12:34,12:53,57
female,30,34,12:54,13:14,56.5
female,30,34,13:15,13:36,56
female,30,34,13:37,14:00,55.5
female,30,34,14:01,14:25,55
female,30,34,14:26,14:52,54.5
female,30,34,14:53,15:20,54
female,30,34,15:21,15:50,52.5
female,30,34,15:51,16:22,51
female,30,34,16:23,16:57,49.5
female,30,34,16:58,17:34,47
female,30,34,17:35,18:14,44.5
female,30,34,18:15,18:56,42
female,30,34,18:57,19:43,38.5
female,30,34,19:44,20:33,35
female,30,34,20:34,30:00,0
female,35,39,00:00,11:06,60
female,35,39,11:07,11:38,59.5
female,35,39,11:39,11:56,59
female,35,39,11:57,12:14,58.5
female,35,39,12:15,12:33,58
female,35,39,12:34,12:53,57.5
female,35,39,12:54,13:14,57
female,35,39,13:15,13:36,56.5
female,35,39,13:37,14:00,56
female,35,39,14:01,14:25,55.5
female,35,39,14:26,14:52,55
female,35,39,14:53,15:20,54.5
female,35,39,15:21,15:50,54
female,35,39,15:51,16:22,52.5
female,35,39,16:23,16:57,51
female,35,39,16:58,17:34,49.5
female,35,39,17:35,18:14,47
female,35,39,18:15,18:56,44
female,35,39,18:57,19:43,41
female,35,39,19:44,20:33,38
female,35,39,20:34,21:28,35
female,35,39,21:29,30:00,0
female,40,44,00:00,11:22,60
female,40,44,11:23,11:56,59.5
female,40,44,11:57,12:14,59
female,40,44,12:15,12:33,58.5
female,40,44,12:34,12:53,58
female,40,44,12:54,13:14,57.5
female,40,44,13:15,13:36,57
female,40,44,13:37,14:00,56.5
female,40,44,14:01,14:25,56
female,40,44,14:26,14:52,55.5
female,40,44,14:53,15:20,55
female,40,44,15:21,15:50,54.5
female,40,44,15:51,16:22,54
female,40,44,16:23,16:57,53.5
female,40,44,16:58,17:34,52
female,40,44,17:35,18:14,50.5
female,40,44,18:15,18:56,48
female,40,44,18:57,19:43,45.5
female,40,44,19:44,20:33,42
female,40,44,20:34,21:28,38.5
female,40,44,21:29,22:28,35
female,40,44,22:29,30:00,0
female,45,49,00:00,11:38,60
female,45,49,11:39,12:14,59.5
female,45,49,12:15,12:33,59
female,45,49,12:34,12:53,58.5
female,45,49,12:54,13:14,58
female,45,49,13:15,13:36,57.5
female,45,49,13:37,14:00,57
female,45,49,14:01,14:25,56.5
female,45,49,14:26,14:52,56
female,45,49,14:53,15:20,55.5
female,45,49,15:21,15:50,55
female,45,49,15:51,16:22,54.5
female,45,49,16:23,16:57,54
female,45,49,16:58,17:34,53.5
female,45,49,17:35,18:14,52
female,45,49,18:15,18:56,50.5
female,45,49,18:57,19:43,48
female,45,49,19:44,20:33,45.5
female,45,49,20:34,21:28,42
female,45,49,21:29,22:28,38.5
female,45,49,22:29,23:34,35
female,45,49,23:34,30:00,0
female,50,54,00:00,12:53,60
female,50,54,12:54,13:36,59.5
female,50,54,13:37,14:00,59
female,50,54,14:01,14:25,58.5
female,50,54,14:26,14:52,58
female,50,54,14:53,15:20,57.5
female,50,54,15:21,15:50,57
female,50,54,15:51,16:22,56.5
female,50,54,16:23,16:57,56
female,50,54,16:58,17:34,55.5
female,50,54,17:35,18:14,55
female,50,54,18:15,18:56,53.5
female,50,54,18:57,19:43,52
female,50,54,19:44,20:33,49.5
female,50,54,20:34,21:28,46
female,50,54,21:29,22:28,42.5
female,50,54,22:29,23:34,39
female,50,54,23:35,24:46,35
female,50,54,24:47,30:00,0
female,55,59,00:00,13:14,60
female,55,59,13:15,14:00,59.5
female,55,59,14:01,14:25,59
female,55,59,14:26,14:52,58.5
female,55,59,14:53,15:20,58
female,55,59,15:21,15:50,57.5
female,55,59,15:51,16:22,57
female,55,59,16:23,16:57,56.5
female,55,59,16:58,17:34,56
female,55,59,17:35,18:14,55.5
female,55,59,18:15,18:56,55
female,55,59,18:57,19:43,53.5
female,55,59,19:44,20:33,52
female,55,59,20:34,21:28,49
female,55,59,21:29,22:28,46
female,55,59,22:29,23:34,43
female,55,59,23:35,24:46,39
female,55,59,24:47,26:06,35
female,55,59,26:07,30:00,0
female,60,255,00:00,14:00,60
female,60,255,14:01,14:52,59.5
female,60,255,14:53,15:20,59
female,60,255,15:21,15:50,58.5
female,60,255,15:51,16:22,58
female,60,255,16:23,16:57,57.5
female,60,255,16:58,17:34,57
female,60,255,17:35,18:14,56.5
female,60,255,18:15,18:56,56
female,60,255,18:57,19:43,55.5
female,60,255,19:44,20:33,54
female,60,255,20:34,21:28,52.5
female,60,255,21:29,22:28,51
female,60,255,22:29,23:34,47
female,60,255,23:35,24:46,43
female,60,255,24:47,26:06,39
female,60,255,26:07,27:27,35
