gender,ageLow,ageHigh,countLow,countHigh,score
male,0,24,58,255,20
male,0,24,57,57,19.7
male,0,24,56,56,19.4
male,0,24,55,55,19
male,0,24,54,54,18.8
male,0,24,53,53,18.4
male,0,24,52,52,18
male,0,24,51,51,17.6
male,0,24,50,50,17.4
male,0,24,49,49,17
male,0,24,48,48,16.6
male,0,24,47,47,16
male,0,24,46,46,15
male,0,24,45,45,14
male,0,24,44,44,13
male,0,24,43,43,12.6
male,0,24,42,42,12
male,0,24,41,41,9
male,0,24,40,40,6
male,0,24,39,39,3
male,0,24,0,38,0
male,25,29,56,255,20
male,25,29,55,55,19.5
male,25,29,54,54,19
male,25,29,53,53,18.8
male,25,29,52,52,18.4
male,25,29,51,51,18
male,25,29,50,50,17.6
male,25,29,49,49,17.4
male,25,29,48,48,17
male,25,29,47,47,16.6
male,25,29,46,46,15
male,25,29,45,45,15
male,25,29,44,44,14
male,25,29,43,43,13
male,25,29,42,42,12.6
male,25,29,41,41,12
male,25,29,40,40,9
male,25,29,39,39,6
male,25,29,38,38,3
male,25,29,0,37,0
male,30,34,54,255,20
male,30,34,53,53,19.7
male,30,34,52,52,19.4
male,30,34,51,51,19
male,30,34,50,50,18.8
male,30,34,49,49,18.4
male,30,34,48,48,18
male,30,34,47,47,17.6
male,30,34,46,46,17.4
male,30,34,45,45,17
male,30,34,44,44,16.6
male,30,34,43,43,16
male,30,34,42,42,15
male,30,34,41,41,14
male,30,34,40,40,13
male,30,34,39,39,12
male,30,34,38,38,9
male,30,34,37,37,6
male,30,34,36,36,3
male,30,34,0,35,0
male,35,39,52,255,20
male,35,39,51,51,19.7
male,35,39,50,50,19.4
male,35,39,49,49,19
male,35,39,48,48,18.8
male,35,39,47,47,18.4
male,35,39,46,46,18
male,35,39,45,45,17.6
male,35,39,44,44,17.4
male,35,39,43,43,17
male,35,39,42,42,16.6
male,35,39,41,41,16
male,35,39,40,40,15
male,35,39,39,39,14
male,35,39,38,38,13
male,35,39,37,37,12
male,35,39,36,36,9
male,35,39,35,35,6
male,35,39,34,34,3
male,35,39,0,33,0
male,40,44,48,255,20
male,40,44,47,47,19.7
male,40,44,46,46,19.4
male,40,44,45,45,19.2
male,40,44,44,44,19
male,40,44,43,43,18.8
male,40,44,42,42,18.4
male,40,44,41,41,18
male,40,44,40,40,17.6
male,40,44,39,39,17.4
male,40,44,38,38,17
male,40,44,37,37,16.6
male,40,44,36,36,16
male,40,44,35,35,15.6
male,40,44,34,34,15
male,40,44,33,33,14
male,40,44,32,32,13
male,40,44,31,31,12
male,40,44,30,30,9
male,40,44,29,29,6
male,40,44,28,28,3
male,40,44,0,27,0
female,0,24,54,255,20
female,0,24,53,53,19.7
female,0,24,52,52,19.4
female,0,24,51,51,19
female,0,24,50,50,18.8
female,0,24,49,49,18
female,0,24,48,48,17.8
female,0,24,47,47,17.6
female,0,24,46,46,17.2
female,0,24,45,45,17
female,0,24,44,44,16
female,0,24,43,43,15.6
female,0,24,42,42,15
female,0,24,41,41,14
female,0,24,40,40,13.6
female,0,24,39,39,13
female,0,24,38,38,12
female,0,24,37,37,9
female,0,24,36,36,6
female,0,24,35,35,3
female,0,24,0,34,0
male,45,49,48,255,20
male,45,49,47,47,19.7
male,45,49,46,46,19.4
male,45,49,45,45,19.2
male,45,49,44,44,19
male,45,49,43,43,18.8
male,45,49,42,42,18.4
male,45,49,41,41,18
male,45,49,40,40,17.6
male,45,49,39,39,17.4
male,45,49,38,38,17
male,45,49,37,37,16.6
male,45,49,36,36,16
male,45,49,35,35,15.6
male,45,49,34,34,15
male,45,49,33,33,14
male,45,49,32,32,13
male,45,49,31,31,12
male,45,49,30,30,9
male,45,49,29,29,6
male,45,49,28,28,3
male,45,49,0,27,0
male,50,54,46,255,20
male,50,54,45,45,19.7
male,50,54,44,44,19.4
male,50,54,43,43,19
male,50,54,42,42,18.8
male,50,54,41,41,18.4
male,50,54,40,40,18.2
male,50,54,39,39,18
male,50,54,38,38,17.6
male,50,54,37,37,17.4
male,50,54,36,36,17
male,50,54,35,35,16
male,50,54,34,34,15.6
male,50,54,33,33,15
male,50,54,32,32,14.6
male,50,54,31,31,14
male,50,54,30,30,13
male,50,54,29,29,12.6
male,50,54,28,28,12
male,50,54,27,27,9
male,50,54,26,26,6
male,50,54,25,25,3
male,50,54,0,24,0
male,55,59,44,255,20
male,55,59,43,43,19.7
male,55,59,42,42,19.4
male,55,59,41,41,19
male,55,59,40,40,18.8
male,55,59,39,39,18.4
male,55,59,38,38,18.2
male,55,59,37,37,18
male,55,59,36,36,17.6
male,55,59,35,35,17.4
male,55,59,34,34,17
male,55,59,33,33,16
male,55,59,32,32,15.6
male,55,59,31,31,15
male,55,59,30,30,14.6
male,55,59,29,29,14
male,55,59,28,28,13.6
male,55,59,27,27,13
male,55,59,26,26,12.6
male,55,59,25,25,12
male,55,59,24,24,9
male,55,59,23,23,6
male,55,59,22,22,3
male,55,59,0,21,0
male,60,255,42,255,20
male,60,255,41,41,19.7
male,60,255,40,40,19.4
male,60,255,39,39,19
male,60,255,38,38,18.8
male,60,255,37,37,18.4
male,60,255,36,36,18.2
male,60,255,35,35,18
male,60,255,34,34,17.8
male,60,255,33,33,17.6
male,60,255,32,32,17.2
male,60,255,31,31,17
